Airport,Date/time,Wind_direction,Wind_speed,Gust_speed,QNH
ENOL,041320Z,120,20,,1008
ENOL,041350Z,120,20,,1008
ENOL,041420Z,120,20,,1008
ENOL,041450Z,130,19,,1008
ENOL,041520Z,120,19,,1008
ENOL,041550Z,130,20,,1008
ENOL,041620Z,130,20,,1008
ENOL,041650Z,130,21,,1008
ENOL,041720Z,130,19,,1009
ENOL,041750Z,130,20,,1009
ENOL,041820Z,130,23,,1009
ENOL,041850Z,130,22,,1009
ENOL,041920Z,130,20,,1009
ENOL,041950Z,130,22,,1009
ENOL,042020Z,130,21,,1010
ENOL,042050Z,130,21,,1009
ENOL,042120Z,130,22,,1010
ENOL,042150Z,130,21,,1010
ENOL,042220Z,130,20,,1010
ENOL,042250Z,130,22,,1010
ENOL,042320Z,130,22,,1010
ENOL,042350Z,130,21,,1010
ENOL,050020Z,130,22,,1010
ENOL,050050Z,130,21,,1010
ENOL,050120Z,130,22,,1010
ENOL,050150Z,130,20,,1010
ENOL,050220Z,130,20,,1010
ENOL,050250Z,130,19,,1010
ENOL,050320Z,120,17,,1010
ENOL,050350Z,130,19,,1009
ENOL,050420Z,130,18,,1010
ENOL,050450Z,130,18,,1010
ENOL,050520Z,130,17,,1010
ENOL,050550Z,120,17,,1009
ENOL,050620Z,120,17,,1010
ENOL,050650Z,120,17,,1010
ENOL,050650Z,120,17,,1010
ENOL,050720Z,130,16,,1010
ENOL,050750Z,130,18,,1010
ENOL,050820Z,130,18,,1010
ENOL,050850Z,130,18,,1010
ENOL,050920Z,130,18,,1010
ENOL,050950Z,130,17,,1010
ENOL,051020Z,130,15,,1010
ENOL,051050Z,130,15,,1010
ENOL,051120Z,130,14,,1010
ENOL,051150Z,130,14,,1011
ENOL,051220Z,130,13,,1011
ENOL,051250Z,120,11,,1011
ENOL,051250Z,120,11,,1011
ENOL,051320Z,130,12,,1011
ENOL,051330Z,130,12,,1011
ENOL,051350Z,130,12,,1011
ENOL,051420Z,130,12,,1011
ENOL,051450Z,130,10,,1011
ENOL,051520Z,130,10,,1011
ENOL,051550Z,130,11,,1011
ENOL,051620Z,130,13,,1012
ENOL,051650Z,130,12,,1012
ENOL,051720Z,130,12,,1012
ENOL,051750Z,130,12,,1012
ENOL,051820Z,130,14,,1012
ENOL,051850Z,130,14,,1013
ENOL,051920Z,130,12,,1013
ENOL,051950Z,130,12,,1013
ENOL,052020Z,140,12,,1014
ENOL,052050Z,130,11,,1014
ENOL,052120Z,130,11,,1014
ENOL,052150Z,130,12,,1014
ENOL,052220Z,130,14,,1014
ENOL,052250Z,130,14,,1014
ENOL,052320Z,130,14,,1015
ENOL,052350Z,130,13,,1015
ENOL,060020Z,120,11,,1015
ENOL,060050Z,120,11,,1015
ENOL,060120Z,130,13,,1016
ENOL,060150Z,130,14,,1016
ENOL,060220Z,130,12,,1016
ENOL,060250Z,130,13,,1016
ENOL,060320Z,130,13,,1016
ENOL,060350Z,140,15,,1016
ENOL,060420Z,140,14,,1016
ENOL,060450Z,140,11,,1017
ENOL,060520Z,140,12,,1017
ENOL,060550Z,130,13,,1017
ENOL,060620Z,130,13,,1017
ENOL,060650Z,130,13,,1018
ENOL,060720Z,130,13,,1018
ENOL,060750Z,130,11,,1019
ENOL,060820Z,130,14,,1019
ENOL,060850Z,130,15,,1019
ENOL,060920Z,130,14,,1020
ENOL,060950Z,130,15,,1020
ENOL,061020Z,130,13,,1020
ENOL,061050Z,130,15,,1020
ENOL,061120Z,130,13,,1021
ENOL,061150Z,130,14,,1021
ENOL,061220Z,130,14,,1021
ENOL,061220Z,130,14,,1021
ENOL,061250Z,130,13,,1021
ENOL,061320Z,130,13,,1021
ENOL,061350Z,120,13,,1021
ENOL,061420Z,120,15,,1022
ENOL,061450Z,130,14,,1022
ENOL,061520Z,120,13,,1022
ENOL,061550Z,130,14,,1022
ENOL,061620Z,130,15,,1023
ENOL,061650Z,130,14,,1023
ENOL,061720Z,130,15,,1023
ENOL,061750Z,120,15,,1023
ENOL,061820Z,120,13,,1023
ENOL,061850Z,120,11,,1024
ENOL,061920Z,130,13,,1024
ENOL,061950Z,120,11,,1024
ENOL,062020Z,130,14,,1024
ENOL,062050Z,120,12,,1024
ENOL,062120Z,130,16,,1024
ENOL,062150Z,130,14,,1024
ENOL,062220Z,120,14,,1025
ENOL,062250Z,120,14,,1025
ENOL,062320Z,120,12,,1025
ENOL,062350Z,120,13,,1026
ENOL,070020Z,130,11,,1026
ENOL,070050Z,130,13,,1026
ENOL,070120Z,130,14,,1026
ENOL,070150Z,130,14,,1026
ENOL,070220Z,130,12,,1027
ENOL,070250Z,130,14,,1027
ENOL,070320Z,130,16,,1027
ENOL,070350Z,130,14,,1027
ENOL,070420Z,130,13,,1027
ENOL,070450Z,130,15,,1027
ENOL,070520Z,120,11,,1027
ENOL,070550Z,130,13,,1027
ENOL,070620Z,120,12,,1027
ENOL,070650Z,120,12,,1028
ENOL,070720Z,120,13,,1028
ENOL,070750Z,120,12,,1028
ENOL,070820Z,120,12,,1029
ENOL,070850Z,130,13,,1029
ENOL,070920Z,130,13,,1029
ENOL,070950Z,120,13,,1029
ENOL,071020Z,120,12,,1030
ENOL,071050Z,120,12,,1030
ENOL,071120Z,120,11,,1030
ENOL,071150Z,130,11,,1030
ENOL,071220Z,120,12,,1030
ENOL,071250Z,120,12,,1030
ENOL,071320Z,120,12,,1030
ENOL,071350Z,120,12,,1030
ENOL,071420Z,130,14,,1031
ENOL,071450Z,120,9,,1031
ENOL,071520Z,120,10,,1031
ENOL,071550Z,120,10,,1031
ENOL,071620Z,130,11,,1031
ENOL,071650Z,130,10,,1031
ENOL,071720Z,120,6,,1032
ENOL,071750Z,120,7,,1032
ENOL,071820Z,240,14,,1032
ENOL,071820Z,240,14,,1032
ENOL,071850Z,250,15,,1032
ENOL,071920Z,230,19,,1032
ENOL,071950Z,230,20,,1032
ENOL,072020Z,230,22,,1032
ENOL,072050Z,240,22,,1032
ENOL,072120Z,240,21,,1032
ENOL,072150Z,240,20,,1032
ENOL,072220Z,250,22,32,1033
ENOL,072250Z,250,24,,1033
ENOL,072320Z,250,23,,1033
ENOL,072350Z,250,24,,1033
ENOL,080020Z,250,23,,1033
ENOL,080050Z,240,22,,1033
ENOL,080120Z,240,22,,1033
ENOL,080150Z,240,18,,1034
ENOL,080220Z,240,20,,1034
ENOL,080250Z,240,18,,1034
ENOL,080320Z,240,18,,1034
ENOL,080350Z,240,17,,1034
ENOL,080420Z,240,18,,1034
ENOL,080450Z,250,17,,1034
ENOL,080520Z,240,16,,1034
ENOL,080550Z,240,18,,1035
ENOL,080620Z,250,18,,1034
ENOL,080650Z,240,20,,1034
ENOL,080650Z,240,20,,1034
ENOL,080720Z,250,18,,1035
ENOL,080750Z,250,17,,1035
