Airport,Date/time,Wind_direction,Wind_speed,Gust_speed,QNH
ENOL,240020Z,230,9,,1017
ENOL,250020Z,130,4,,1016
ENOL,260020Z,350,8,,1019
ENOL,270020Z,60,4,,1013
ENOL,280020Z,130,19,,1000
ENOL,290020Z,0,3,,0996
ENOL,300020Z,0,2,,1006
ENOL,010020Z,250,12,,1002
ENOL,020020Z,250,8,,1003
ENOL,030020Z,250,17,,1001
ENOL,040020Z,40,4,,0996
ENOL,050020Z,130,10,,0991
ENOL,060020Z,0,0,,0993
ENOL,070020Z,70,5,,0995
ENOL,080020Z,230,9,,1004
ENOL,090020Z,200,4,,1016
ENOL,100020Z,80,6,,1022
ENOL,110020Z,140,11,,1008
ENOL,120020Z,280,6,,1015
ENOL,130020Z,100,3,,1017
ENOL,140020Z,220,5,,1013
ENOL,150020Z,80,10,,1007
ENOL,160020Z,70,2,,1009
ENOL,170020Z,220,3,,1011
ENOL,180020Z,280,14,,1015
ENOL,190020Z,250,6,,1020
ENOL,200020Z,110,6,,1016
ENOL,210020Z,90,7,,1009
ENOL,220020Z,0,0,,1007
ENOL,230020Z,310,9,,1013
ENOL,240020Z,310,4,,1017
ENOL,250020Z,70,5,,1014
ENOL,260020Z,80,6,,1003
ENOL,270020Z,230,7,,1007
ENOL,280020Z,280,3,,1013
ENOL,290020Z,240,9,,1021
ENOL,300020Z,90,6,,1017
ENOL,310020Z,320,5,,1011
ENOL,010020Z,240,7,,1014
ENOL,020020Z,110,3,,1015
ENOL,030020Z,70,6,,1009
ENOL,040020Z,90,4,,1005
ENOL,050020Z,190,3,,1010
ENOL,060020Z,170,2,,1010
ENOL,070020Z,120,7,,1006
ENOL,080020Z,340,7,,1004
ENOL,090020Z,120,8,,1005
ENOL,100020Z,250,21,,0993
ENOL,110020Z,230,19,,0998
ENOL,120020Z,270,25,,1014
ENOL,130020Z,120,12,,1013
ENOL,140020Z,120,14,,1006
ENOL,150020Z,80,3,,1009
ENOL,160020Z,230,12,,0995
ENOL,170020Z,100,7,,1001
ENOL,180020Z,130,11,,1003
ENOL,190020Z,240,14,,1003
ENOL,200020Z,120,11,,1006
ENOL,210020Z,230,10,,0999
ENOL,220020Z,110,11,,0998
ENOL,230020Z,270,4,,0992
ENOL,240020Z,310,11,,0991
ENOL,250020Z,160,6,,0994
ENOL,260020Z,130,8,,1001
ENOL,270020Z,250,19,,1012
ENOL,280020Z,140,12,,1010
ENOL,290020Z,130,13,,1015
ENOL,300020Z,210,9,,1011
ENOL,310020Z,280,18,,1021
ENOL,010020Z,200,4,,1030
ENOL,020020Z,120,9,,1023
ENOL,030020Z,120,17,,1012
ENOL,040020Z,30,3,,1017
ENOL,050020Z,120,3,,1027
ENOL,060020Z,0,0,,1027
ENOL,070020Z,110,9,,1020
ENOL,080020Z,130,10,,1014
ENOL,090020Z,150,12,,1001
ENOL,100020Z,350,8,,0994
ENOL,110020Z,90,17,,0984
ENOL,120020Z,150,10,,0985
ENOL,130020Z,220,12,,1010
ENOL,140020Z,180,6,,1022
ENOL,150020Z,120,13,,1018
ENOL,160020Z,340,7,,1020
ENOL,170020Z,240,6,,1028
ENOL,180020Z,240,15,,1031
ENOL,190020Z,110,6,,1031
ENOL,200020Z,290,6,,1032
ENOL,210020Z,90,2,,1031
ENOL,220020Z,50,8,,1026
ENOL,230020Z,60,3,,1013
ENOL,240020Z,240,7,,1005
ENOL,250020Z,110,2,,0998
ENOL,260020Z,250,16,,0992
ENOL,270020Z,30,8,,0995
ENOL,280020Z,320,6,,0995
ENOL,290020Z,290,20,31,1009
ENOL,300020Z,130,12,,1020
ENOL,010020Z,230,19,,1021
ENOL,020020Z,80,3,,1022
ENOL,030020Z,250,14,,1021
ENOL,040020Z,240,14,,1020
ENOL,050020Z,60,5,,1018
ENOL,060020Z,40,1,,1007
ENOL,070020Z,60,4,,1010
ENOL,080020Z,120,7,,1002
ENOL,090020Z,10,1,,0998
ENOL,100020Z,310,9,,0991
ENOL,110020Z,350,13,,0993
ENOL,120020Z,220,19,,1002
ENOL,130020Z,120,14,,1001
ENOL,140020Z,330,13,,1011
ENOL,150020Z,120,8,,1017
ENOL,160020Z,130,12,,1018
