Airport,Date/time,Wind_direction,Wind_speed,Gust_speed
ENBO,010020Z,100,26,0
ENBO,010120Z,110,27,0
ENBO,010150Z,110,28,0
ENBO,010220Z,110,24,0
ENBO,010250Z,100,26,0
ENBO,010320Z,100,26,0
ENBO,010350Z,100,26,0
ENBO,010420Z,110,24,0
ENBO,010450Z,100,24,0
ENBO,010520Z,100,23,0
ENBO,010550Z,100,24,0
ENBO,010620Z,100,25,0
ENBO,010720Z,100,25,0
ENBO,010750Z,100,26,0
ENBO,010820Z,90,25,0
ENBO,010850Z,100,24,0
ENBO,010920Z,90,23,0
ENBO,010950Z,90,28,0
ENBO,011020Z,90,26,0
ENBO,011050Z,90,27,0
ENBO,011120Z,90,25,0
ENBO,011150Z,90,25,0
ENBO,011220Z,90,24,0
ENBO,011250Z,80,24,0
ENBO,011320Z,90,22,0
ENBO,011350Z,90,21,0
ENBO,011420Z,100,23,0
ENBO,011450Z,100,21,0
ENBO,011520Z,100,23,35
ENBO,011550Z,110,25,0
ENBO,011620Z,100,26,0
ENBO,011650Z,100,23,0
ENBO,011720Z,90,25,0
ENBO,011750Z,90,25,0
ENBO,011820Z,90,24,0
ENBO,011850Z,100,25,0
ENBO,011920Z,100,25,0
ENBO,011950Z,100,23,0
ENBO,012020Z,90,25,0
ENBO,012050Z,90,24,0
ENBO,012120Z,90,24,0
ENBO,012150Z,90,25,0
ENBO,012220Z,90,25,0
ENBO,012250Z,100,20,0
ENBO,012320Z,90,25,0
ENBO,012350Z,90,26,0
ENBO,020020Z,90,24,0
ENBO,020050Z,90,26,0
ENBO,020120Z,90,25,0
ENBO,020150Z,90,26,0
ENBO,020220Z,90,26,0
ENBO,020250Z,90,25,0
ENBO,020320Z,90,25,0
ENBO,020350Z,90,25,0
ENBO,020420Z,90,24,0
ENBO,020450Z,90,25,0
ENBO,020520Z,90,25,0
ENBO,020550Z,90,25,0
ENBO,020620Z,90,26,0
ENBO,020650Z,90,26,0
ENBO,020720Z,90,26,0
ENBO,020750Z,90,24,0
ENBO,020820Z,90,26,0
ENBO,020850Z,90,25,0
ENBO,020920Z,90,27,0
ENBO,020950Z,90,25,0
ENBO,021020Z,90,28,0
ENBO,021050Z,90,26,0
ENBO,021120Z,90,23,0
ENBO,021150Z,80,24,0
ENBO,021220Z,90,23,0
ENBO,021250Z,90,24,0
ENBO,021320Z,90,24,0
ENBO,021350Z,90,24,0
ENBO,021420Z,90,24,0
ENBO,021450Z,90,24,0
ENBO,021520Z,90,24,0
ENBO,021550Z,90,24,0
ENBO,021620Z,90,21,0
ENBO,021620Z,90,21,0
ENBO,021650Z,90,22,0
ENBO,021720Z,90,22,0
ENBO,021750Z,90,24,0
ENBO,021820Z,90,25,0
ENBO,021850Z,90,24,0
ENBO,021920Z,90,24,0
ENBO,021950Z,90,24,0
ENBO,022020Z,90,24,0
ENBO,022050Z,90,25,0
ENBO,022120Z,90,23,0
ENBO,022150Z,90,24,0
ENBO,022220Z,90,26,0
ENBO,022250Z,90,22,0
ENBO,022320Z,90,25,0
ENBO,022350Z,90,22,0
ENBO,030020Z,90,24,0
ENBO,030050Z,90,23,0
ENBO,030120Z,90,23,0
ENBO,030150Z,90,22,0
ENBO,030220Z,90,22,0
ENBO,030250Z,90,21,0
ENBO,030320Z,90,21,0
ENBO,030350Z,90,21,0
ENBO,030420Z,90,20,0
ENBO,030450Z,90,21,0
ENBO,030520Z,90,22,0
ENBO,030550Z,90,21,0
ENBO,030620Z,90,20,0
ENBO,030650Z,90,22,0
ENBO,030720Z,90,21,0
ENBO,030750Z,90,20,0
ENBO,030820Z,90,21,0
ENBO,030850Z,90,20,0
ENBO,030920Z,90,21,0
ENBO,030950Z,90,18,0
ENBO,031020Z,90,20,0
ENBO,031050Z,90,21,0
ENBO,031120Z,90,21,0
ENBO,031120Z,90,21,0
ENBO,031150Z,90,20,0
ENBO,031220Z,90,23,0
ENBO,031250Z,100,24,0
ENBO,031320Z,90,24,0
ENBO,031350Z,90,22,0
ENBO,031420Z,90,23,0
ENBO,031450Z,90,22,0
ENBO,031520Z,90,23,0
ENBO,031550Z,90,23,0
ENBO,031620Z,90,23,0
ENBO,031650Z,90,22,0
